order_id,basket_value,channel,user_id
1,126.10784753476764,store,1
2,16.518230545474957,store,1
3,74.18734047496103,store,1
4,152.43317251146874,store,1
5,74.48946331933212,store,2
6,38.20395779308885,store,2
7,94.7954079579587,store,2
8,109.01325811043434,store,2
9,68.93605382379575,store,3
10,66.71874609827728,store,3
11,46.37678333685066,store,3
12,68.81732855512733,store,4
13,1.0,store,4
14,55.25683283493453,store,4
15,23.98134235467689,store,5
16,22.658833272997036,store,5
17,25.65512121313086,store,5
18,163.14515156344487,store,6
19,143.5940913360924,web,6
20,201.86682383628454,store,6
21,94.47566553594095,mobile,7
22,50.71932328561917,web,7
23,103.86515248331656,store,8
24,96.16333409916425,store,8
25,175.88014055762739,store,8
26,106.26662112698482,store,8
27,159.15230315914658,web,9
28,62.22713321688416,store,9
29,45.41910539389456,store,9
30,79.84102119773831,store,9
31,59.64323026097492,store,10
32,99.7433574907601,store,10
33,37.442437012866286,store,10
34,105.18629135827744,store,11
35,119.87186592727491,store,11
36,56.42589973233619,store,11
37,80.00518622145115,web,12
38,78.03489869640893,store,12
39,130.19370131238534,store,12
40,58.806497427015486,store,13
41,117.08742238139112,store,13
42,112.44531227000667,store,13
43,67.00157244961375,store,14
44,38.7741031155446,store,14
45,118.42992189662607,store,15
46,61.98283594664875,web,15
47,1.0,store,15
48,153.94789785209474,store,16
49,136.9490147279064,store,16
50,149.56395650213094,web,16
51,128.11539295556048,store,16
52,61.54966455530254,web,17
53,39.7320302021705,store,17
54,149.0827133501695,store,17
55,39.14985135293868,store,17
56,157.38967273676968,store,17
57,123.1641578767817,web,18
58,91.48029353039092,store,18
59,160.06077435337227,store,18
60,89.23831443215815,store,18
61,21.541071155903403,store,19
62,107.77903330412039,store,19
63,78.48678126133161,store,19
64,70.35797336722099,store,19
65,104.6884159203675,store,20
66,17.806940028259604,store,20
67,25.654501961760893,store,20
68,100.21035419167751,web,21
69,39.925140749042946,store,21
70,96.25698988767263,store,21
71,168.29766450189973,store,22
72,39.2408243394588,store,22
73,105.0117585562185,store,22
74,57.64951664439971,store,22
75,71.39958156249794,store,23
76,23.540458720073907,store,23
77,96.19843275702992,store,23
78,67.76052068897447,web,23
79,57.12079073657816,store,24
80,69.55573044339333,store,24
